MilestoneID,Dependencies,EstimatedEffort,Lead,Completed,Description
DefineInitialMilestones,,0.5,mh3216,118415f72b48ab9c335c133cdedb151f52532ac4,Come up with initial milestones for getting started
Preliminary _C_lexer,,3,rz1616,b28bd27fe5c06354d5f9ed1574befc3246e4d423,produce a skeletal outline of the c lexer with all the parameters - test using histogram
C_Lexer,Preliminary _C_lexer,4,mh3216,163dc776e053d42ba3ae4ffb00d4af8955724e31,Implement Pattern matching for ANSI C
C_parser_framework,C_Lexer,3,mh3216,163dc776e053d42ba3ae4ffb00d4af8955724e31,Produce a skeletal outline of the C parser with all the necessary parameters
C_parser_grammar,C_parser_framework,5,rz1616,b495090533643b844633f3f56f47e6cfa9c19ef5, parser grammar rules
build_routine,,1,mh3216,122586530192bf869b2b153e9223b4e1f9f3632c,Decided to dedicate time to creating a makefile for build automaition
c_compiler_framework,C_Lexer;C_parser_grammar,2,mh3216,3fd67decf6f03c7e0daed7e023e87efbbb83177e,main function for the program
test_suite,,2,mh3216,15976e51c7f95f1e44f169a3248a20cd494b7ee9,create C programs for test suite
C_parser_AST,C_parser_grammar,8,mh3216,a3a23ca10d9543644f97c5df62bdc91d5b6ba4fe,Create classes for C_parser_AST
C_translator_formative,C_parser_AST,8,mh3216,5a8555495d11a0a2b207c703a97541ba1fd71ac6,Get basic int main return 0 working and work from there
C_translator_final,C_translator_formative,6,mh3216,86c5df66f5f690d2e7759ff834e10b6bc93efa9c,Finish off translator to meet spec
C_compiler_initial_API,C_parser_AST,8,mh3216,19320c1731490ce5310cbb5ee731d92a90b61944,Set up Compile Context struct
C_compiler_int_main_return,C_compiler_initial_API,8,mh3216,19320c1731490ce5310cbb5ee731d92a90b61944,get code gen working for int main return 0
C_compiler_basic_int_expressions,C_compiler_int_main_return,8,rz1616,713f5d010a592c7570a4e3104ed34a03e23d17d6,declare and assign basic expressions
C_compiler_upgrade_API,C_compiler_initial_API,6,mh3216,5dcc25cff75c2b7b84c0662c3bfae9319d4ac331,ass to Compile context to aid advances expression code gen
C_compiler_more_int_expressions,C_compiler_basic_int_expressions;C_compiler_upgrade_API,15,rz1616,33074d4f9c03847d3c0f92e04414ab4a6d020de9,more complex C expressions
C_compiler_complete_int_expressions,C_compiler_more_int_expressions,15,mh3216,69522511d0b08d020f67a6b42afcd48dc2cdef3f,complete all expressions for uint and int
C_compiler_statement_API,C_compiler_upgrade_API,3,mh3216,e2e21d46c82e411a4da5d3824797b8f5fdb6a132,add support for iteration and conditional statements
C_compiler_control_statements,C_compiler_statement_API,15,rz1616,4a59e783546b5403c98b04f8e4f52806e2820c50,for while if and if else statements
C_compiler_global_vars,C_compiler_upgrade_API,20,mh3216,1f4982d42b22a40f896e004fbfdab55d3a349365,add supprt for global int and uint types
C_compiler_basic_function_calls,,10,mh3216,f5397107e1b2b8b07fd1aeed3a260b3bc1bd034e,adapt API as necessary and compile overload for relevant classes
C_compiler_complete_statements,C_compiler_control_statements,7,mh3216,d115c0ca395cef3d07e4948a55abff1c7a854e8d,finish off statement AST classes
C_compiler_advanced_function_calls,C_compiler_basic_function_calls,10,mh3216,c48a6d248cd88bd08255deea8aed60e3574dfd6b,touch up on funciton ABI interaction
C_compiler_functions_testing,C_compiler_advanced_function_calls,7,rz1616,6bbb7f52509177187c63427666fe48ba4d2b5949,work on finding flaws on function calls and definitions
C_compiler_first_submission,C_compiler_functions_testing,0.5,,c48a6d248cd88bd08255deea8aed60e3574dfd6b, save hash for tetiary submission
C_compiler_second_submission,C_compiler_first_submission,2,mh3216,69c04825214b1365c8157c5084508483942ee60c, fix any bugs found through further testing
C_compiler_floats_API,,10,mh3216,c81c6e04784babdb688667d19d56348dda1778fe,API to handle float decalre and return
C_compiler_floats_expr,C_compiler_floats_API,8,mh3216,09b4a60d63e07ce7f7fcff7edb9975279da3c004,add mul etc for floats
C_compiler_floats_func,C_compiler_floats_API,8,mh3216,244ed082dbcd2f717e2124cdcebb22e6cbd8fcdf,funciton return and up to two args of type double/float
C_compiler_final_submission,C_compiler_floats,0.5,mh3216,this,final testing on fresh git clone